name,league,rank,prev_rank,off,def,spi
us quevilly,french ligue 2,431.000,428.000,1.000,2.000,25.700
pec zwolle,dutch eredivisie,432.000,429.000,1.000,2.000,25.600
bodo/glimt,norwegian tippeligaen,433.000,451.000,0.800,1.700,25.400
carpi,italy serie b,434.000,430.000,0.500,1.300,25.300
la hoya lorca,spanish segunda division,435.000,435.000,0.900,1.900,25.200
stabaek,norwegian tippeligaen,436.000,434.000,1.000,2.000,25.000
montreal impact,major league soccer,437.000,432.000,0.900,2.000,24.600
reading,english league championship,438.000,437.000,0.900,1.900,24.200
energiya khabarovsk,russian premier liga,439.000,438.000,0.800,1.700,24.000
st. plten,austrian t-mobile bundesliga,440.000,449.000,0.900,1.900,23.700
san jose earthquakes,major league soccer,441.000,440.000,0.900,2.000,23.100
st johnstone,scottish premiership,442.000,442.000,0.800,1.800,22.600
dalkurd ff,swedish allsvenskan,443.000,441.000,0.900,2.100,22.400
vvv venlo,dutch eredivisie,444.000,443.000,0.800,1.900,22.400
viking fk,norwegian tippeligaen,445.000,444.000,0.900,2.100,22.100
tours,french ligue 2,446.000,445.000,0.900,2.100,22.100
colorado rapids,major league soccer,447.000,447.000,0.800,1.900,22.100
pro vercelli,italy serie b,448.000,446.000,0.800,2.000,22.000
ik sirius,swedish allsvenskan,449.000,439.000,1.000,2.300,21.700
trelleborgs ff,swedish allsvenskan,450.000,450.000,0.700,1.900,21.500
gfc ajaccio,french ligue 2,451.000,448.000,0.800,2.000,21.400
minnesota united fc,major league soccer,452.000,452.000,0.800,2.100,21.200
vasby united,swedish allsvenskan,453.000,453.000,0.700,2.000,20.000
sparta,dutch eredivisie,454.000,454.000,1.000,2.500,19.700
motherwell,scottish premiership,455.000,455.000,0.600,1.800,19.400
ross county,scottish premiership,456.000,456.000,0.700,2.000,17.800
bourg-peronnas,french ligue 2,457.000,457.000,1.000,2.600,17.800
hamilton academical,scottish premiership,458.000,458.000,0.700,2.200,15.700
brommapojkarna,swedish allsvenskan,459.000,459.000,0.600,2.100,15.400
sandefjord,norwegian tippeligaen,460.000,460.000,0.600,2.300,14.700
dundee,scottish premiership,461.000,461.000,0.500,2.000,13.900
ik start,norwegian tippeligaen,462.000,462.000,0.500,2.300,11.500
partick thistle,scottish premiership,463.000,463.000,0.300,2.000,11.200
karabkspor,turkish turkcell super lig,464.000,464.000,0.500,2.500,11.100
